t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
656269.207,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.225,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.230,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
656269.234,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.240,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.244,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.248,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.253,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.257,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.261,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.265,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
656269.269,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
656269.273,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
656269.277,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
656269.282,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
656269.304,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
656269.354,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
656269.404,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
656269.455,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
656269.504,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
656269.553,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
656269.605,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
656269.655,0,0,0,1.000,1.000,0.972,-90.00,180.00,0.00,OPEN,0
656269.704,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
656269.754,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
656269.804,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
656269.854,1,0,0,1.000,1.000,0.994,-90.00,180.00,4.50,OPEN,1
656269.904,1,0,0,1.000,1.000,0.993,-90.00,180.00,4.50,OPEN,0
656269.954,1,0,0,1.000,1.000,0.994,-90.00,180.00,4.50,OPEN,0
656270.004,1,0,0,1.000,1.000,0.985,-90.00,180.00,9.00,OPEN,1
656270.053,1,0,0,1.000,1.000,0.889,-90.00,180.00,9.00,OPEN,0
656270.105,1,0,0,1.000,1.000,0.814,-90.00,180.00,13.50,OPEN,1
656270.154,1,0,0,1.000,1.000,0.943,-90.00,180.00,13.50,OPEN,0
656270.204,1,0,0,1.000,1.000,0.984,-90.00,180.00,13.50,OPEN,0
656270.254,1,0,0,1.000,1.000,0.991,-90.00,180.00,18.00,OPEN,1
656270.304,1,0,0,1.000,1.000,0.992,-90.00,180.00,18.00,OPEN,0
656270.354,1,0,0,1.000,1.000,0.995,-90.00,180.00,18.00,OPEN,0
656270.404,1,0,0,1.000,1.000,0.996,-90.00,180.00,22.50,OPEN,1
656270.454,1,0,0,1.000,1.000,0.998,-90.00,180.00,22.50,OPEN,0
656270.503,1,0,0,1.000,1.000,0.998,-90.00,180.00,22.50,OPEN,0
656270.554,1,0,0,1.000,1.000,0.997,-90.00,180.00,27.00,OPEN,1
656270.604,1,0,0,1.000,1.000,0.994,-90.00,180.00,27.00,OPEN,0
656270.654,1,0,0,1.000,1.000,0.994,-90.00,180.00,31.50,OPEN,1
656270.704,1,0,0,1.000,1.000,0.993,-90.00,180.00,31.50,OPEN,0
