t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
660301.998,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.015,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.020,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
660302.024,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.028,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.032,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.035,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.039,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.044,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.049,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.053,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
660302.097,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
660302.147,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
660302.197,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
660302.247,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
660302.298,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
660302.347,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
660302.398,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
660302.447,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
660302.497,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
660302.548,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
660302.597,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
660302.647,1,0,0,1.000,1.000,0.972,-90.00,180.00,4.50,OPEN,1
660302.697,1,0,0,1.000,1.000,0.994,-90.00,180.00,4.50,OPEN,0
660302.748,1,0,0,1.000,1.000,0.996,-90.00,180.00,9.00,OPEN,1
660302.798,1,0,0,1.000,1.000,0.993,-90.00,180.00,9.00,OPEN,0
660302.847,1,0,0,1.000,1.000,0.994,-90.00,180.00,9.00,OPEN,0
660302.897,1,0,0,1.000,1.000,0.993,-90.00,180.00,13.50,OPEN,1
660302.947,1,0,0,1.000,1.000,0.994,-90.00,180.00,13.50,OPEN,0
660302.997,1,0,0,1.000,1.000,0.985,-90.00,180.00,13.50,OPEN,0
660303.047,1,0,0,1.000,1.000,0.889,-90.00,180.00,18.00,OPEN,1
660303.097,1,0,0,1.000,1.000,0.814,-90.00,180.00,18.00,OPEN,0
660303.149,1,0,0,1.000,1.000,0.943,-90.00,180.00,22.50,OPEN,1
660303.198,1,0,0,1.000,1.000,0.984,-90.00,180.00,22.50,OPEN,0
660303.247,1,0,0,1.000,1.000,0.991,-90.00,180.00,22.50,OPEN,0
660303.297,1,0,0,1.000,1.000,0.992,-90.00,180.00,27.00,OPEN,1
660303.347,1,0,0,1.000,1.000,0.995,-90.00,180.00,27.00,OPEN,0
660303.397,1,0,0,1.000,1.000,0.996,-90.00,180.00,27.00,OPEN,0
660303.447,1,0,0,1.000,1.000,0.998,-90.00,180.00,31.50,OPEN,1
660303.497,1,0,0,1.000,1.000,0.998,-90.00,180.00,31.50,OPEN,0
660303.547,1,0,0,1.000,1.000,0.997,-90.00,180.00,31.50,OPEN,0
660303.597,1,0,0,1.000,1.000,0.994,-90.00,180.00,36.00,OPEN,1
660303.647,1,0,0,1.000,1.000,0.994,-90.00,180.00,36.00,OPEN,0
660303.697,1,0,0,1.000,1.000,0.993,-90.00,180.00,36.00,OPEN,0
660303.748,1,0,0,1.000,1.000,0.989,-90.00,180.00,40.50,OPEN,1
660303.798,1,0,0,1.000,1.000,0.981,-90.00,180.00,40.50,OPEN,0
660303.848,1,0,0,1.000,1.000,0.978,-90.00,180.00,45.00,OPEN,1
660303.897,1,0,0,1.000,1.000,0.983,-90.00,180.00,45.00,OPEN,0
660303.947,1,0,0,1.000,1.000,0.993,-90.00,180.00,45.00,OPEN,0
660303.997,1,0,0,1.000,1.000,0.992,-90.00,180.00,49.50,OPEN,1
660304.047,1,0,0,1.000,1.000,0.992,-90.00,180.00,49.50,OPEN,0
660304.102,1,0,0,1.000,1.000,0.989,-90.00,180.00,54.00,OPEN,1
660304.147,1,0,0,1.000,1.000,0.988,-90.00,180.00,54.00,OPEN,0
660304.197,1,0,0,1.000,1.000,0.957,-90.00,180.00,54.00,OPEN,0
660304.247,1,0,0,1.000,1.000,0.920,-90.00,180.00,58.50,OPEN,1
660304.298,1,0,0,1.000,1.000,0.942,-90.00,180.00,58.50,OPEN,0
660304.347,1,0,0,1.000,1.000,0.936,-90.00,180.00,63.00,OPEN,1
660304.397,1,0,0,1.000,1.000,0.935,-90.00,180.00,63.00,OPEN,0
660304.447,1,0,0,1.000,1.000,0.911,-90.00,180.00,63.00,OPEN,0
660304.498,1,0,0,1.000,1.000,0.908,-90.00,180.00,67.50,OPEN,1
660304.548,1,0,0,1.000,1.000,0.968,-90.00,180.00,67.50,OPEN,0
660304.597,1,0,0,1.000,1.000,0.969,-90.00,180.00,67.50,OPEN,0
660304.647,1,0,0,1.000,1.000,0.981,-90.00,180.00,72.00,OPEN,1
660304.698,1,0,0,1.000,1.000,0.995,-90.00,180.00,72.00,OPEN,0
660304.747,1,0,0,1.000,1.000,0.996,-90.00,180.00,76.50,OPEN,1
660304.798,1,0,0,1.000,1.000,0.996,-90.00,180.00,76.50,OPEN,0
660304.847,1,0,0,1.000,1.000,0.994,-90.00,180.00,76.50,OPEN,0
660304.897,1,0,0,1.000,1.000,0.990,-90.00,180.00,81.00,OPEN,1
660304.947,1,0,0,1.000,1.000,0.986,-90.00,180.00,81.00,OPEN,0
660304.998,1,0,0,1.000,1.000,0.987,-90.00,180.00,85.50,OPEN,1
660305.047,1,0,0,1.000,1.000,0.982,-90.00,180.00,85.50,OPEN,0
660305.098,1,0,0,1.000,1.000,0.978,-90.00,180.00,85.50,OPEN,0
660305.147,1,0,0,1.000,1.000,0.983,-90.00,180.00,90.00,OPEN,1
660305.197,1,0,0,1.000,1.000,0.988,-90.00,180.00,90.00,OPEN,0
660305.247,1,0,0,1.000,1.000,0.994,-90.00,180.00,94.50,OPEN,1
660305.297,1,0,0,1.000,1.000,0.994,-90.00,180.00,94.50,OPEN,0
660305.347,1,0,0,1.000,1.000,0.990,-90.00,180.00,94.50,OPEN,0
660305.397,1,0,0,1.000,1.000,0.991,-90.00,180.00,99.00,OPEN,1
660305.447,1,0,0,1.000,1.000,0.989,-90.00,180.00,99.00,OPEN,0
660305.498,1,0,0,1.000,1.000,0.986,-90.00,180.00,103.50,OPEN,1
660305.547,1,0,0,1.000,1.000,0.985,-90.00,180.00,103.50,OPEN,0
660305.597,1,0,0,1.000,1.000,0.981,-90.00,180.00,103.50,OPEN,0
660305.647,1,0,0,1.000,1.000,0.979,-90.00,180.00,108.00,OPEN,1
660305.697,1,0,0,1.000,1.000,0.988,-90.00,180.00,108.00,OPEN,0
660305.747,1,0,0,1.000,1.000,0.987,-90.00,180.00,108.00,OPEN,0
660305.797,1,0,0,1.000,1.000,0.987,-90.00,180.00,112.50,OPEN,1
660305.847,1,0,0,1.000,1.000,0.987,-90.00,180.00,112.50,OPEN,0
660305.897,1,0,0,1.000,1.000,0.990,-90.00,180.00,112.50,OPEN,0
660305.947,1,0,0,1.000,1.000,0.994,-90.00,180.00,117.00,OPEN,1
660305.998,1,0,0,1.000,1.000,0.989,-90.00,180.00,117.00,OPEN,0
660306.047,1,0,0,1.000,1.000,0.987,-90.00,180.00,121.50,OPEN,1
660306.098,1,0,0,1.000,1.000,0.987,-90.00,180.00,121.50,OPEN,0
660306.147,1,0,0,1.000,1.000,0.990,-90.00,180.00,126.00,OPEN,1
660306.197,1,0,0,1.000,1.000,0.981,-90.00,180.00,126.00,OPEN,0
660306.247,1,0,0,1.000,1.000,0.979,-90.00,180.00,126.00,OPEN,0
660306.297,1,0,0,1.000,1.000,0.985,-90.00,180.00,130.50,OPEN,1
660306.347,1,0,0,1.000,1.000,1.000,-90.00,180.00,130.50,OPEN,0
660306.397,1,0,0,1.000,1.000,1.000,-90.00,180.00,135.00,OPEN,1
660306.447,1,0,0,1.000,1.000,1.000,-90.00,180.00,135.00,OPEN,0
660306.498,1,0,0,1.000,1.000,1.000,-90.00,180.00,139.50,OPEN,1
660306.547,1,0,0,1.000,1.000,1.000,-90.00,180.00,139.50,OPEN,0
660306.597,1,0,0,1.000,1.000,1.000,-90.00,180.00,139.50,OPEN,0
660306.647,1,0,0,1.000,1.000,1.000,-90.00,180.00,144.00,OPEN,1
660306.698,1,0,0,1.000,1.000,1.000,-90.00,180.00,144.00,OPEN,0
660306.747,1,0,0,1.000,1.000,1.000,-90.00,180.00,148.50,OPEN,1
660306.797,1,0,0,1.000,1.000,1.000,-90.00,180.00,148.50,OPEN,0
660306.848,1,0,0,1.000,1.000,1.000,-90.00,180.00,153.00,OPEN,1
660306.897,1,0,0,1.000,1.000,1.000,-90.00,180.00,153.00,OPEN,0
660306.947,1,0,0,1.000,1.000,1.000,-90.00,180.00,153.00,OPEN,0
660306.998,1,0,0,1.000,1.000,1.000,-90.00,180.00,157.50,OPEN,1
660307.047,1,0,0,1.000,1.000,1.000,-90.00,180.00,157.50,OPEN,0
660307.098,1,0,0,1.000,1.000,1.000,-90.00,180.00,162.00,OPEN,1
660307.147,1,0,0,1.000,1.000,1.000,-90.00,180.00,162.00,OPEN,0
660307.197,1,0,0,1.000,1.000,1.000,-90.00,180.00,162.00,OPEN,0
660307.248,1,1,1,1.000,1.000,0.924,-86.94,176.94,166.50,OPEN,1
660307.297,1,1,1,1.000,1.000,0.700,-83.96,173.96,166.50,OPEN,0
660307.347,1,1,1,1.000,1.000,0.790,-80.98,170.98,166.50,OPEN,0
660307.398,1,1,1,1.000,1.000,1.000,-77.94,167.94,171.00,OPEN,1
660307.447,1,1,1,1.000,1.000,1.000,-74.95,164.95,171.00,OPEN,0
660307.497,1,1,1,1.000,1.000,1.000,-71.98,161.98,171.00,OPEN,0
660307.549,1,1,1,0.773,1.000,1.000,-68.88,158.88,175.50,OPEN,1
660307.597,1,1,1,1.000,1.000,1.000,-66.00,156.00,175.50,OPEN,0
660307.647,1,1,1,1.000,1.000,1.000,-62.99,152.99,175.50,OPEN,0
660307.697,1,1,1,1.000,1.000,1.000,-59.96,149.96,180.00,OPEN,1
660307.747,1,1,1,1.000,1.000,1.000,-56.96,146.96,180.00,OPEN,0
660307.797,1,1,1,1.000,1.000,1.000,-53.98,143.98,180.00,OPEN,0
660307.847,1,1,1,1.000,1.000,1.000,-50.98,140.98,180.00,OPEN,1
660307.897,1,1,1,1.000,0.522,0.982,-47.96,137.96,180.00,OPEN,0
660307.947,0,1,1,1.000,0.998,0.732,-44.97,134.97,180.00,OPEN,1
660307.998,0,1,1,1.000,1.000,0.598,-41.94,131.94,180.00,OPEN,0
660308.047,0,1,1,1.000,1.000,0.546,-38.97,128.97,180.00,OPEN,1
660308.097,0,1,1,1.000,1.000,0.600,-35.99,125.99,180.00,OPEN,0
660308.147,0,0,1,1.000,1.000,0.996,-32.97,129.00,180.00,OPEN,1
660308.197,0,0,1,1.000,1.000,0.976,-29.96,132.01,180.00,OPEN,0
660308.247,0,0,1,1.000,1.000,0.959,-27.00,134.97,180.00,OPEN,0
660308.297,0,0,0,1.000,1.000,0.984,-30.00,137.97,180.00,OPEN,1
660308.347,0,0,0,1.000,0.992,0.988,-33.00,140.98,180.00,OPEN,0
660308.397,0,0,0,1.000,0.973,0.978,-36.01,143.98,180.00,OPEN,1
660308.447,0,0,0,1.000,0.743,0.999,-39.03,147.01,180.00,OPEN,0
660308.497,0,0,0,1.000,1.000,1.000,-42.02,150.00,180.00,OPEN,1
660308.550,0,0,0,1.000,1.000,0.995,-45.21,153.19,180.00,OPEN,0
660308.598,0,0,0,1.000,0.810,0.803,-48.10,156.08,180.00,OPEN,1
660308.647,0,0,0,1.000,0.977,0.574,-51.02,159.00,180.00,OPEN,0
660308.699,0,0,0,1.000,0.949,0.637,-54.11,162.09,180.00,OPEN,1
660308.748,0,0,0,1.000,0.778,0.794,-57.07,165.05,180.00,OPEN,0
660308.797,0,0,0,1.000,0.995,0.992,-60.03,168.00,180.00,OPEN,0
660308.847,0,0,0,1.000,1.000,1.000,-63.02,171.00,180.00,OPEN,1
660308.898,0,0,0,1.000,1.000,1.000,-66.08,174.06,180.00,OPEN,0
660308.947,0,0,0,1.000,1.000,1.000,-69.02,177.00,180.00,OPEN,1
660308.997,0,0,0,1.000,1.000,1.000,-71.99,179.97,180.00,OPEN,0
660309.048,0,0,0,1.000,1.000,1.000,-75.05,180.00,180.00,OPEN,1
660309.097,0,0,0,1.000,1.000,1.000,-78.00,180.00,180.00,OPEN,0
660309.147,0,0,0,1.000,1.000,1.000,-81.01,180.00,180.00,OPEN,0
