t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
655817.089,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.106,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.110,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
655817.114,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.121,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.129,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.134,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.141,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.145,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.151,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.162,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
655817.168,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
655817.175,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
655817.179,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
655817.185,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
655817.190,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
655817.197,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
655817.202,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
655817.205,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
655817.210,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
655817.213,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
655817.218,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
655817.223,0,0,0,1.000,1.000,0.972,-90.00,180.00,0.00,OPEN,0
655817.227,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
655817.230,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
655817.238,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
655817.254,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
655817.303,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
655817.358,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
655817.407,0,0,0,1.000,1.000,0.985,-90.00,180.00,0.00,OPEN,0
655817.455,0,0,0,1.000,1.000,0.889,-90.00,180.00,0.00,OPEN,0
655817.507,0,0,0,1.000,1.000,0.814,-90.00,180.00,0.00,OPEN,0
655817.558,0,0,0,1.000,1.000,0.943,-90.00,180.00,0.00,OPEN,0
655817.604,0,0,0,1.000,1.000,0.984,-90.00,180.00,0.00,OPEN,0
655817.653,0,0,0,1.000,1.000,0.991,-90.00,180.00,0.00,OPEN,0
655817.709,1,0,0,1.000,1.000,0.992,-90.00,180.00,4.50,OPEN,1
655817.753,1,0,0,1.000,1.000,0.995,-90.00,180.00,4.50,OPEN,0
655817.804,1,0,0,1.000,1.000,0.996,-90.00,180.00,4.50,OPEN,0
655817.853,1,0,0,1.000,1.000,0.998,-90.00,180.00,9.00,OPEN,1
655817.904,1,0,0,1.000,1.000,0.998,-90.00,180.00,9.00,OPEN,0
655817.958,1,0,0,1.000,1.000,0.997,-90.00,180.00,13.50,OPEN,1
655818.006,1,0,0,1.000,1.000,0.994,-90.00,180.00,13.50,OPEN,0
655818.058,1,0,0,1.000,1.000,0.994,-90.00,180.00,13.50,OPEN,0
655818.107,1,0,0,1.000,1.000,0.993,-90.00,180.00,18.00,OPEN,1
655818.155,1,0,0,1.000,1.000,0.989,-90.00,180.00,18.00,OPEN,0
