t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
657865.456,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.468,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.478,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.489,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.499,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.510,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.520,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.531,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.542,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.553,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.563,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.574,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.584,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.595,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.605,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.616,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.627,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.638,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.649,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.659,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.670,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.681,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.691,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.702,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.712,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.723,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.733,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.744,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.754,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.765,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.776,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.787,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.797,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.808,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.819,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.829,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.840,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.851,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.861,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.872,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.883,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.893,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.904,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.915,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.925,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.936,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.947,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.957,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.968,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.979,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657865.989,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.000,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.011,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.022,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.033,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.043,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.054,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.064,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.075,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.086,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.096,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.107,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.118,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.129,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.139,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.150,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.160,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.171,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.181,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.192,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.202,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.212,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.223,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.234,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.245,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.255,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.267,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.278,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.288,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.299,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.310,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.320,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.331,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.342,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.353,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.364,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.374,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.385,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.396,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.406,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.417,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.428,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.438,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.449,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.460,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.472,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.482,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.493,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.504,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.514,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.525,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.535,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.546,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.556,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.567,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.578,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.588,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.599,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.610,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.621,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.632,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.642,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.653,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.663,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.674,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.684,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.695,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.705,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.716,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.727,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.737,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.748,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.758,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.769,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.779,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.790,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.801,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.812,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.823,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.833,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.844,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.855,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.866,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.876,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.887,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.898,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.908,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.919,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.930,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.941,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.952,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.963,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.974,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.985,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657866.995,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.006,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.017,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.027,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.038,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.049,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.059,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.070,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.081,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.091,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.102,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.113,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.124,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.135,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.145,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.156,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.166,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.176,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.187,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.198,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.209,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.220,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.230,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.241,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.252,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.263,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.273,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.284,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.294,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.304,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.315,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.326,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.336,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.347,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.358,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.368,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.379,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.390,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.400,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.411,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.421,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.432,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.443,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.453,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.464,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.474,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.485,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.496,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.507,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.518,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.529,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.539,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.550,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.560,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
657867.571,0,0,0,0.950,0.950,0.950,-90.00,180.00,0.00,OPEN,0
