t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
672716.680,0,0,0,0.805,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.702,0,0,0,0.711,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.739,0,0,0,0.996,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.789,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.839,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.889,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.939,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672716.989,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.039,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.089,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.139,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.188,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.239,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.289,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.339,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.389,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.439,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.489,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.539,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.589,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.639,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.690,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.739,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.789,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.839,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.889,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.939,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672717.989,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.039,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.090,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.139,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.191,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.239,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.289,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.339,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.391,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.440,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.489,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.539,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.589,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.639,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.689,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.739,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.788,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.839,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.889,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.939,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672718.989,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672719.038,1,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
