t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
553119.965,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.016,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.066,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.117,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.168,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.218,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.269,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.319,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.369,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.420,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.471,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.521,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.572,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.622,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.673,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.723,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.774,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.825,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.875,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.926,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553120.976,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.028,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.079,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.130,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.181,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.231,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.282,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.333,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.383,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.434,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.535,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.586,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.636,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.687,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
553121.737,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
