time,bundle,scale_uv_latissimus_dorsi,scale_uv_biceps,scale_uv_triceps,scale_uv_deltoid_anterior,scale_uv_wrist_flexor,scale_uv_index,scale_uv_thumb,base_uv_latissimus_dorsi,base_uv_biceps,base_uv_triceps,base_uv_deltoid_anterior,base_uv_wrist_flexor,base_uv_index,base_uv_thumb
2026-08-15 19:55:54,final_v4_split,11.639,0.960,0.954,3.615,1.359,1.092,2.071,10.487,1.733,10.126,1405.309,1.713,6.987,5.318
2026-08-15 19:56:51,final_v4_split,4.995,14.946,1.211,3.002,0.897,0.785,2.546,4.340,12.993,1.147,2.522,0.860,0.663,2.145
2026-08-19 20:43:43,final_v4_split,6.835,4.157,6.943,6.639,3.342,2.909,11.654,6.111,3.585,5.952,7.970,2.819,2.472,8.953
2026-08-19 20:47:26,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-19 20:50:40,final_v4_split,6.835,4.157,6.943,6.639,3.342,2.909,11.654,6.111,3.585,5.952,7.970,2.819,2.472,8.953
2026-08-19 21:02:07,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:16:50,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:18:20,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:18:55,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:21:09,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:27:11,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:35:04,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 21:42:37,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-19 22:49:50,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 00:19:10,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 00:50:32,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 00:51:30,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:23:31,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:25:54,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:47:51,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:48:54,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 01:49:56,final_v4_split,5.561,3.839,1.256,1.293,2.313,66.283,4.338,4.857,3.394,1.072,1.160,1.999,59.684,3.656
2026-08-20 01:51:00,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:51:51,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 01:52:53,final_v4_split,4.481,2.612,5.671,54.870,2.822,2.194,1.451,3.911,2.333,5.008,46.794,2.397,1.943,1.350
2026-08-20 01:52:57,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 02:08:39,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 02:10:28,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 02:11:44,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 02:16:45,final_v4_split,4.569,2.418,4.677,1.645,2.210,2.025,1.806,4.099,2.189,4.236,1.556,1.987,1.804,1.726
2026-08-20 03:04:13,final_v4_split,5.373,2.083,4.638,2.618,2.070,5.623,1.409,7.148,2.743,8.560,2.416,2.152,5.561,2.263
2026-08-20 03:07:11,final_v4_split,3.821,1.841,3.610,4.911,2.386,5.905,1.429,5.335,3.122,9.549,4.797,3.107,6.024,2.377
2026-08-20 03:17:48,final_v4_split,3.879,4.295,6.720,7.144,2.085,3.399,2.286,6.542,8.433,15.121,8.707,4.552,4.026,4.695
2026-08-21 21:16:58,final_v4_split,3.871,1.255,8.927,3.079,0.950,1.253,3.406,6.601,4.599,91.970,13.808,5.431,3.716,10.735
2026-08-21 21:17:34,final_v4_split,7.477,1.703,16.660,6.333,1.532,1.556,5.931,8.601,2.337,23.221,9.406,2.465,3.024,10.183
2026-08-21 21:19:57,final_v4_split,4.749,1.260,10.459,3.662,0.854,1.059,2.935,5.720,1.864,11.197,5.827,1.927,2.565,6.808
2026-08-21 21:25:53,final_v4_split,4.184,1.098,6.096,3.249,0.967,1.156,2.421,6.035,1.880,7.194,7.489,2.388,2.693,6.616
