sample_index,t_s,event,gesture,rep
6,0.002592,record_start,,-1
7036,3.517996,preview,index_flex,0
10060,5.029744,prepare,index_flex,0
14038,7.018821,go,index_flex,0
22006,11.002705,return,index_flex,0
27015,13.507039,release,index_flex,0
34091,17.045563,preview,thumb_flex,1
37050,18.525223,prepare,thumb_flex,1
41018,20.508559,go,thumb_flex,1
49068,24.534284,return,thumb_flex,1
54066,27.032491,release,thumb_flex,1
61074,30.537232,preview,pinch,2
64034,32.016351,prepare,pinch,2
68070,34.034317,go,pinch,2
76054,38.027210,return,pinch,2
81078,40.538458,release,pinch,2
88016,44.008140,preview,elbow_flex,3
91043,45.521161,prepare,elbow_flex,3
95179,47.588916,go,elbow_flex,3
103015,51.507588,return,elbow_flex,3
108011,54.005012,release,elbow_flex,3
115045,57.522520,preview,shoulder_flex,4
118027,59.013527,prepare,shoulder_flex,4
122030,61.015239,go,shoulder_flex,4
130017,65.008499,return,shoulder_flex,4
135042,67.521125,release,shoulder_flex,4
141999,71.000170,preview,arm_lift,5
145089,72.544940,prepare,arm_lift,5
149073,74.536447,go,arm_lift,5
157031,78.516029,return,arm_lift,5
162033,81.016498,release,arm_lift,5
169067,84.533423,preview,pick_and_lift,6
172027,86.013647,prepare,pick_and_lift,6
176101,88.050547,go,pick_and_lift,6
184039,92.019550,return,pick_and_lift,6
189045,94.522923,release,pick_and_lift,6
196100,98.050882,preview,pick_and_raise,7
199088,99.544268,prepare,pick_and_raise,7
203072,101.536808,go,pick_and_raise,7
211062,105.531536,return,pick_and_raise,7
216102,108.051035,release,pick_and_raise,7
223012,111.506796,preview,index_flex,8
226080,113.040475,prepare,index_flex,8
230047,115.023804,go,index_flex,8
238008,119.004744,return,index_flex,8
243019,121.510023,release,index_flex,8
250034,125.017782,preview,thumb_flex,9
253090,126.545560,prepare,thumb_flex,9
257090,128.545997,go,thumb_flex,9
265038,132.519900,return,thumb_flex,9
270042,135.021598,release,thumb_flex,9
277074,138.537119,preview,pinch,10
280030,140.015808,prepare,pinch,10
284034,142.018240,go,pinch,10
292094,146.047270,return,pinch,10
297087,148.544193,release,pinch,10
304037,152.019077,preview,elbow_flex,11
307099,153.550422,prepare,elbow_flex,11
311080,155.540998,go,elbow_flex,11
319041,159.521737,return,elbow_flex,11
324062,162.031875,release,elbow_flex,11
331047,165.524587,preview,shoulder_flex,12
334012,167.006773,prepare,shoulder_flex,12
338098,169.049818,go,shoulder_flex,12
346033,173.016971,return,shoulder_flex,12
351025,175.513376,release,shoulder_flex,12
358023,179.012966,preview,arm_lift,13
361065,180.533405,prepare,arm_lift,13
365044,182.522897,go,arm_lift,13
373040,186.520857,return,arm_lift,13
378017,189.009841,release,arm_lift,13
385053,192.527893,preview,pick_and_lift,14
388009,194.005212,prepare,pick_and_lift,14
392069,196.035269,go,pick_and_lift,14
400053,200.027343,return,pick_and_lift,14
405071,202.536210,release,pick_and_lift,14
412008,206.005606,preview,pick_and_raise,15
415076,207.538899,prepare,pick_and_raise,15
419065,209.534365,go,pick_and_raise,15
427066,213.534486,return,pick_and_raise,15
432072,216.037420,release,pick_and_raise,15
439025,219.513982,preview,index_flex,16
442084,221.043453,prepare,index_flex,16
446064,223.033259,go,index_flex,16
454010,227.006197,return,index_flex,16
459016,229.509166,release,index_flex,16
466070,233.036210,preview,thumb_flex,17
469060,234.532606,prepare,thumb_flex,17
473044,236.522830,go,thumb_flex,17
481026,240.513928,return,thumb_flex,17
486048,243.025528,release,thumb_flex,17
493020,246.511199,preview,pinch,18
496079,248.040702,prepare,pinch,18
500088,250.045635,go,pinch,18
507999,254.001900,return,pinch,18
513000,256.501683,release,pinch,18
520072,260.037671,preview,elbow_flex,19
523063,261.532618,prepare,elbow_flex,19
527071,263.537893,go,elbow_flex,19
535047,267.525009,return,elbow_flex,19
540073,270.038367,release,elbow_flex,19
547002,273.502704,preview,shoulder_flex,20
550084,275.043736,prepare,shoulder_flex,20
554010,277.006960,go,shoulder_flex,20
561999,281.001316,return,shoulder_flex,20
567005,283.503994,release,shoulder_flex,20
574075,287.039186,preview,arm_lift,21
577099,288.551082,prepare,arm_lift,21
581007,290.505253,go,arm_lift,21
589079,294.541487,return,arm_lift,21
594008,297.005828,release,arm_lift,21
601013,300.508148,preview,pick_and_lift,22
604075,302.040058,prepare,pick_and_lift,22
608072,304.037763,go,pick_and_lift,22
616021,308.012562,return,pick_and_lift,22
621071,310.537350,release,pick_and_lift,22
628014,314.009408,preview,pick_and_raise,23
631082,315.542905,prepare,pick_and_raise,23
635097,317.550688,go,pick_and_raise,23
643004,321.504518,return,pick_and_raise,23
