sample_index,t_s,event,gesture,rep
6,0.002874,record_start,,-1
7038,3.519160,preview,index_flex,0
10046,5.023013,prepare,index_flex,0
14100,7.050100,go,index_flex,0
22042,11.020771,return,index_flex,0
27098,13.548991,release,index_flex,0
34043,17.021274,preview,thumb_flex,1
37006,18.503192,prepare,thumb_flex,1
41100,20.549238,go,thumb_flex,1
49098,24.548692,return,thumb_flex,1
54010,27.004583,release,thumb_flex,1
61094,30.546850,preview,pinch,2
64068,32.033361,prepare,pinch,2
68062,34.031358,go,pinch,2
76035,38.017764,return,pinch,2
81062,40.531309,release,pinch,2
88013,44.006608,preview,elbow_flex,3
91093,45.547132,prepare,elbow_flex,3
95215,47.607405,go,elbow_flex,3
103066,51.533412,return,elbow_flex,3
108088,54.044093,release,elbow_flex,3
115010,57.505335,preview,shoulder_flex,4
118037,59.019151,prepare,shoulder_flex,4
122019,61.009920,go,shoulder_flex,4
130071,65.035539,return,shoulder_flex,4
135069,67.535188,release,shoulder_flex,4
142021,71.011322,preview,arm_lift,5
145095,72.547816,prepare,arm_lift,5
149086,74.543720,go,arm_lift,5
157047,78.524475,return,arm_lift,5
162052,81.026822,release,arm_lift,5
169041,84.521136,preview,pick_and_lift,6
172001,86.001203,prepare,pick_and_lift,6
176083,88.042150,go,pick_and_lift,6
184025,92.013193,return,pick_and_lift,6
189004,94.502688,release,pick_and_lift,6
196084,98.042463,preview,pick_and_raise,7
199061,99.531065,prepare,pick_and_raise,7
203072,101.536523,go,pick_and_raise,7
211040,105.521702,return,pick_and_raise,7
216064,108.032834,release,pick_and_raise,7
223014,111.507859,preview,index_flex,8
226088,113.044608,prepare,index_flex,8
230084,115.042623,go,index_flex,8
238078,119.039517,return,index_flex,8
243062,121.532085,release,index_flex,8
250090,125.045586,preview,thumb_flex,9
253052,126.526873,prepare,thumb_flex,9
257053,128.527419,go,thumb_flex,9
265035,132.518066,return,thumb_flex,9
270081,135.041759,release,thumb_flex,9
277033,138.517241,preview,pinch,10
279999,140.001050,prepare,pinch,10
284095,142.048975,go,pinch,10
292098,146.050240,return,pinch,10
297087,148.544405,release,pinch,10
304063,152.033193,preview,elbow_flex,11
307019,153.510822,prepare,elbow_flex,11
311027,155.514413,go,elbow_flex,11
319090,159.545966,return,elbow_flex,11
324013,162.008026,release,elbow_flex,11
331093,165.547552,preview,shoulder_flex,12
334067,167.034219,prepare,shoulder_flex,12
338040,169.022177,go,shoulder_flex,12
346019,173.010563,return,shoulder_flex,12
351039,175.520108,release,shoulder_flex,12
358022,179.012351,preview,arm_lift,13
360999,180.500834,prepare,arm_lift,13
365086,182.544515,go,arm_lift,13
373092,186.547807,return,arm_lift,13
378048,189.025567,release,arm_lift,13
385028,192.515967,preview,pick_and_lift,14
387999,194.001041,prepare,pick_and_lift,14
392086,196.044163,go,pick_and_lift,14
400043,200.023418,return,pick_and_lift,14
405048,202.525791,release,pick_and_lift,14
412034,206.018840,preview,pick_and_raise,15
415000,207.501432,prepare,pick_and_raise,15
419035,209.518877,go,pick_and_raise,15
427093,213.547988,return,pick_and_raise,15
432030,216.016995,release,pick_and_raise,15
439083,219.543906,preview,index_flex,16
442044,221.023069,prepare,index_flex,16
446030,223.016458,go,index_flex,16
454067,227.035081,return,index_flex,16
459069,229.535980,release,index_flex,16
466045,233.024095,preview,thumb_flex,17
469027,234.515190,prepare,thumb_flex,17
473034,236.519054,go,thumb_flex,17
481021,240.512097,return,thumb_flex,17
486050,243.026904,release,thumb_flex,17
493003,246.503407,preview,pinch,18
496063,248.033363,prepare,pinch,18
500017,250.010432,go,pinch,18
508015,254.009286,return,pinch,18
513087,256.545040,release,pinch,18
520093,260.048383,preview,elbow_flex,19
523045,261.524131,prepare,elbow_flex,19
527018,263.510897,go,elbow_flex,19
535041,267.522650,return,elbow_flex,19
540055,270.029811,release,elbow_flex,19
547047,273.525813,preview,shoulder_flex,20
550011,275.007976,prepare,shoulder_flex,20
553997,277.000878,go,shoulder_flex,20
562029,281.016981,return,shoulder_flex,20
567030,283.517372,release,shoulder_flex,20
574036,287.020153,preview,arm_lift,21
577097,288.551097,prepare,arm_lift,21
581102,290.553079,go,arm_lift,21
589052,294.528878,return,arm_lift,21
594072,297.038662,release,arm_lift,21
600998,300.501917,preview,pick_and_lift,22
604070,302.037402,prepare,pick_and_lift,22
608056,304.030252,go,pick_and_lift,22
615996,308.000151,return,pick_and_lift,22
621000,310.502220,release,pick_and_lift,22
628055,314.030047,preview,pick_and_raise,23
631040,315.522298,prepare,pick_and_raise,23
635074,317.539776,go,pick_and_raise,23
643021,321.512793,return,pick_and_raise,23
648006,324.005889,release,pick_and_raise,23
655082,327.543854,preview,index_flex,24
658057,329.030749,prepare,index_flex,24
662054,331.029917,go,index_flex,24
670025,335.015741,return,index_flex,24
675035,337.520285,release,index_flex,24
682052,341.029560,preview,thumb_flex,25
685021,342.512657,prepare,thumb_flex,25
689005,344.505671,go,thumb_flex,25
697079,348.542246,return,thumb_flex,25
702085,351.045140,release,thumb_flex,25
709031,354.518134,preview,pinch,26
712095,356.050318,prepare,pinch,26
716087,358.045980,go,pinch,26
724065,362.035703,return,pinch,26
729000,364.502589,release,pinch,26
736047,368.026650,preview,elbow_flex,27
739004,369.505099,prepare,elbow_flex,27
743079,371.542809,go,elbow_flex,27
751060,375.533532,return,elbow_flex,27
756002,378.003858,release,elbow_flex,27
763098,381.552462,preview,shoulder_flex,28
766080,383.043296,prepare,shoulder_flex,28
770076,385.041268,go,shoulder_flex,28
778027,389.017818,return,shoulder_flex,28
783058,391.532668,release,shoulder_flex,28
790036,395.021202,preview,arm_lift,29
793003,396.505607,prepare,arm_lift,29
797094,398.550277,go,arm_lift,29
805086,402.547209,return,arm_lift,29
810016,405.011080,release,arm_lift,29
817090,408.548044,preview,pick_and_lift,30
820058,410.032606,prepare,pick_and_lift,30
824042,412.024605,go,pick_and_lift,30
831995,416.001244,return,pick_and_lift,30
835151,417.578615,aborted,,-1
